observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
306,0.5378006,0.5350003,0.5260333,0.6144402,0.6030327,0.62164342,0.62570527,0.606
307,0.4067139,0.4039314,0.3959804,0.4321491,0.4425464,0.401426,0.42191905,0.406
308,0.2647668,0.2639099,0.2656296,0.1919461,0.1778842,0.23747375,0.21881944,0.218
309,0.2268928,0.2249488,0.2391337,0.1287057,0.1395168,0.18897367,0.1234314,0.154
310,0.3933285,0.3899401,0.4004022,0.3482264,0.3600679,0.3209485,0.335555,0.302
311,0.63227,0.6254728,0.6247798,0.6612718,0.660278,0.54393167,0.55121284,0.531
312,0.620289,0.614998,0.5992993,0.6534253,0.6397125,0.7103335,0.71376523,0.692
313,0.951017,0.9478652,0.9510949,0.9040407,0.9206966,0.84247208,0.87147845,0.791
314,0.949661,0.9441372,0.9509302,0.8379663,0.8576984,0.88953433,0.89142504,0.859
315,1.0299638,1.023037,1.0230331,0.9863302,0.9904304,0.91128425,0.93693074,0.867
316,0.9787292,0.9739222,0.964173,0.9318201,0.9362852,0.87332275,0.8863426,0.826
317,0.7251194,0.7219405,0.7124058,0.7345351,0.7388669,0.75124742,0.75188523,0.715
318,0.5851085,0.5815181,0.5763981,0.6463432,0.64166,0.61334858,0.6337477,0.587
319,0.4226382,0.4203526,0.4160726,0.459822,0.4689809,0.40937667,0.44005597,0.391
320,0.3137615,0.3119651,0.3161746,0.2639369,0.2503689,0.22548825,0.24614585,0.234
321,0.2189185,0.2189336,0.2380311,0.1589823,0.1670957,0.18071833,0.14713412,0.183
322,0.3446942,0.3438567,0.3648813,0.3509213,0.3571227,0.35929617,0.33056897,0.317
323,0.4903546,0.488009,0.4948036,0.5851165,0.5806401,0.52325267,0.52466768,0.486
324,0.6326277,0.627136,0.6283364,0.7020504,0.6941134,0.69301942,0.69984098,0.669
325,0.7903626,0.7820738,0.7858535,0.8547216,0.8481101,0.83227,0.87161368,0.809
326,0.932496,0.9284898,0.941864,0.8643293,0.8913235,0.89028883,0.88865621,0.874
327,1.0084559,1.001972,1.0068382,1.0014072,1.0070346,0.90866617,0.93329894,0.876
328,0.8175347,0.8117243,0.8042578,0.8417394,0.8250833,0.85678392,0.86159037,0.821
329,0.7753948,0.7710832,0.7647937,0.7825322,0.7925683,0.74777217,0.76925474,0.736
330,0.5272418,0.5249822,0.5168696,0.6136042,0.6020976,0.61752833,0.62021402,0.611
331,0.3750545,0.3732215,0.369375,0.4101224,0.4192896,0.38224508,0.40790741,0.349
332,0.2650227,0.2635439,0.2727042,0.2146203,0.2001189,0.22515167,0.20567103,0.141
333,0.2300961,0.2297907,0.2459808,0.1604408,0.1698433,0.17359242,0.1342029,0.056
334,0.3922583,0.3904908,0.4075896,0.3878093,0.3988642,0.31750075,0.3250184,0.197
335,0.4919252,0.4890191,0.4963708,0.5768156,0.563044,0.5385025,0.52026403,0.494
336,0.5917924,0.587597,0.5780328,0.6555036,0.6432338,0.70506542,0.69625411,0.676
