"","observation","year","Extent","Ave","future","future_ozone_plus","future_ozone_minus","future=","ozone+","ozone-"
"1",1,1980,14.86304,NA,NA,NA,NA,NA,NA,NA
"2",2,1980,15.9648,NA,NA,NA,NA,NA,NA,NA
"3",3,1980,16.03992,NA,NA,NA,NA,NA,NA,NA
"4",4,1980,15.42644,NA,NA,NA,NA,NA,NA,NA
"5",5,1980,13.78632,NA,NA,NA,NA,NA,NA,NA
"6",6,1980,12.19628,12.35,NA,NA,NA,NA,NA,NA
"7",7,1980,10.10544,NA,NA,NA,NA,NA,NA,NA
"8",8,1980,7.97704,NA,NA,NA,NA,NA,NA,NA
"9",9,1980,7.66404,NA,NA,NA,NA,NA,NA,NA
"10",10,1980,9.17896,NA,NA,NA,NA,NA,NA,NA
"11",11,1980,11.38248,NA,NA,NA,NA,NA,NA,NA
"12",12,1980,13.586,NA,NA,NA,NA,NA,NA,NA
"13",13,1981,14.91312,NA,NA,NA,NA,NA,NA,NA
"14",14,1981,15.60172,NA,NA,NA,NA,NA,NA,NA
"15",15,1981,15.62676,NA,NA,NA,NA,NA,NA,NA
"16",16,1981,15.01328,NA,NA,NA,NA,NA,NA,NA
"17",17,1981,13.79884,NA,NA,NA,NA,NA,NA,NA
"18",18,1981,12.43416,12.15,NA,NA,NA,NA,NA,NA
"19",19,1981,10.2682,NA,NA,NA,NA,NA,NA,NA
"20",20,1981,7.83932,NA,NA,NA,NA,NA,NA,NA
"21",21,1981,7.1382,NA,NA,NA,NA,NA,NA,NA
"22",22,1981,8.86596,NA,NA,NA,NA,NA,NA,NA
"23",23,1981,10.93176,NA,NA,NA,NA,NA,NA,NA
"24",24,1981,13.3356,NA,NA,NA,NA,NA,NA,NA
"25",25,1982,15.17604,NA,NA,NA,NA,NA,NA,NA
"26",26,1982,15.9648,NA,NA,NA,NA,NA,NA,NA
"27",27,1982,16.03992,NA,NA,NA,NA,NA,NA,NA
"28",28,1982,15.464,NA,NA,NA,NA,NA,NA,NA
"29",29,1982,13.97412,NA,NA,NA,NA,NA,NA,NA
"30",30,1982,12.48424,12.47,NA,NA,NA,NA,NA,NA
"31",31,1982,10.36836,NA,NA,NA,NA,NA,NA,NA
"32",32,1982,8.1398,NA,NA,NA,NA,NA,NA,NA
"33",33,1982,7.30096,NA,NA,NA,NA,NA,NA,NA
"34",34,1982,9.41684,NA,NA,NA,NA,NA,NA,NA
"35",35,1982,11.63288,NA,NA,NA,NA,NA,NA,NA
"36",36,1982,13.63608,NA,NA,NA,NA,NA,NA,NA
"37",37,1983,14.93816,NA,NA,NA,NA,NA,NA,NA
"38",38,1983,16.01488,NA,NA,NA,NA,NA,NA,NA
"39",39,1983,16.09,NA,NA,NA,NA,NA,NA,NA
"40",40,1983,15.17604,NA,NA,NA,NA,NA,NA,NA
"41",41,1983,13.48584,NA,NA,NA,NA,NA,NA,NA
"42",42,1983,12.29644,12.35,NA,NA,NA,NA,NA,NA
"43",43,1983,10.56868,NA,NA,NA,NA,NA,NA,NA
"44",44,1983,8.18988,NA,NA,NA,NA,NA,NA,NA
"45",45,1983,7.3886,NA,NA,NA,NA,NA,NA,NA
"46",46,1983,9.3292,NA,NA,NA,NA,NA,NA,NA
