observation,year,Extent,Ave
286,2003,7.85184,
287,2003,10.13048,
288,2003,12.5844,
289,2004,14.0242,
290,2004,14.91312,
291,2004,14.98824,
292,2004,13.98664,
293,2004,12.55936,
294,2004,11.44508,11.25
295,2004,9.42936,
296,2004,6.85024,
297,2004,5.97384,
298,2004,7.92696,
299,2004,10.34332,
300,2004,12.54684,
301,2005,13.66112,
302,2005,14.37476,
303,2005,14.68776,
304,2005,14.0868,
305,2005,12.90992,
306,2005,11.15712,10.93
307,2005,8.65312,
308,2005,6.29936,
309,2005,5.49808,
310,2005,7.35104,
311,2005,10.21812,
312,2005,12.23384,
313,2006,13.47332,
314,2006,14.32468,
315,2006,14.42484,
316,2006,13.91152,
317,2006,12.5218,
318,2006,10.91924,10.8
319,2006,8.46532,
320,2006,6.49968,
321,2006,5.86116,
322,2006,7.53884,
323,2006,9.65472,
324,2006,11.94588,
325,2007,13.69868,
326,2007,14.51248,
327,2007,14.53752,
328,2007,13.84892,
329,2007,12.78472,
330,2007,11.21972,10.5
331,2007,7.93948,
332,2007,5.33532,
333,2007,4.27112,
334,2007,6.03644,
335,2007,9.75488,
336,2007,12.03352,
337,2008,13.88648,
338,2008,14.95068,
339,2008,15.17604,
340,2008,14.34972,
341,2008,12.97252,
342,2008,11.2072,10.99
343,2008,8.67816,
344,2008,5.91124,
345,2008,4.68428,
346,2008,7.35104,
347,2008,10.34332,
348,2008,12.35904,
349,2009,13.91152,
350,2009,14.81296,
351,2009,14.97572,
352,2009,14.49996,
353,2009,13.18536,
354,2009,11.31988,10.95
355,2009,8.46532,
356,2009,6.1366,
357,2009,5.2602,
358,2009,6.92536,
359,2009,9.7674,
360,2009,12.19628,
361,2010,13.73624,
362,2010,14.57508,
363,2010,15.13848,
364,2010,14.66272,
365,2010,12.87236,
366,2010,10.59372,10.73
367,2010,8.06468,
368,2010,5.87368,
369,2010,4.87208,
370,2010,6.97544,
371,2010,9.60464,
372,2010,11.8332,
373,2011,13.4608,
374,2011,14.36224,
375,2011,14.55004,
376,2011,14.11184,
377,2011,12.68456,
378,2011,10.74396,10.51
379,2011,7.71412,
380,2011,5.49808,
381,2011,4.55908,
382,2011,6.46212,
383,2011,9.7674,
384,2011,12.1462,
385,2012,13.73624,
386,2012,14.55004,
387,2012,15.20108,
388,2012,14.62516,
389,2012,13.01008,
390,2012,10.66884,10.42
391,2012,7.66404,
392,2012,4.72184,
393,2012,3.57,
394,2012,5.8862,
395,2012,9.3918,
396,2012,12.00848,
397,2013,13.69868,
398,2013,14.72532,
399,2013,15.0258,
400,2013,14.29964,
401,2013,12.99756,
402,2013,11.35744,10.92
403,2013,8.12728,
404,2013,6.0114,
405,2013,5.21012,
406,2013,7.4512,
407,2013,9.94268,
408,2013,12.18376,
409,2014,13.6486,
410,2014,14.42484,
411,2014,14.76288,
412,2014,14.0868,
413,2014,12.69708,
414,2014,11.03192,10.81
415,2014,8.11476,
416,2014,6.074,
417,2014,5.22264,
418,2014,7.22584,
419,2014,10.10544,
420,2014,12.34652,
421,2015,13.59852,
422,2015,14.3998,
423,2015,14.37476,
424,2015,13.88648,
425,2015,12.47172,
426,2015,10.88168,10.59
427,2015,8.37768,
428,2015,5.59824,
429,2015,4.62168,
430,2015,6.97544,
431,2015,9.85504,
432,2015,12.04604,
433,2016,13.4608,
434,2016,14.19948,
435,2016,14.3998,
436,2016,13.68616,
437,2016,11.92084,
438,2016,10.40592,10.18
439,2016,7.93948,
440,2016,5.37288,
441,2016,4.53404,
442,2016,6.074,
443,2016,8.66564,
444,2016,11.4576,
445,2017,13.18536,
446,2017,14.12436,
447,2017,14.28712,
448,2017,13.74876,
449,2017,12.63448,
450,2017,10.75648,10.42
451,2017,7.93948,
452,2017,5.48556,
453,2017,4.822,
454,2017,6.77512,
455,2017,9.49196,
456,2017,11.74556,
457,2018,13.0852,
458,2018,13.97412,
459,2018,14.29964,
460,2018,13.69868,
461,2018,12.23384,
462,2018,10.78152,10.38
463,2018,8.265,
464,2018,5.61076,
465,2018,4.78444,
466,2018,6.12408,
467,2018,9.81748,
468,2018,11.85824,
469,2019,13.57348,
470,2019,14.38728,
471,2019,14.57508,
472,2019,13.43576,
473,2019,12.18376,
474,2019,10.59372,10.23
475,2019,7.58892,
476,2019,5.03484,
477,2019,4.35876,
478,2019,5.73596,
479,2019,9.35424,
480,2019,11.8958,
481,2020,13.6486,
482,2020,14.67524,
483,2020,14.7754,
484,2020,13.73624,
485,2020,12.35904,
486,2020,10.5812,10.13
487,2020,7.27592,
488,2020,5.08492,
489,2020,3.92056,
490,2020,5.28524,
491,2020,,
492,2020,,
493,2021,,
494,2021,,
495,2021,,
496,2021,,
497,2021,,
498,2021,,10.41
499,2021,,
500,2021,,
501,2021,,
502,2021,,
503,2021,,
504,2021,,
505,2022,,
506,2022,,
507,2022,,
508,2022,,
509,2022,,
510,2022,,10.34
511,2022,,
512,2022,,
513,2022,,
514,2022,,
515,2022,,
516,2022,,
517,2023,,
518,2023,,
519,2023,,
520,2023,,
521,2023,,
522,2023,,
523,2023,,
524,2023,,
525,2023,,
526,2023,,
527,2023,,
528,2023,,
529,2024,,
530,2024,,
531,2024,,
532,2024,,
533,2024,,
534,2024,,
535,2024,,
536,2024,,
537,2024,,
538,2024,,
539,2024,,
540,2024,,
541,2025,,
542,2025,,
543,2025,,
544,2025,,
545,2025,,
546,2025,,
547,2025,,
548,2025,,
549,2025,,
550,2025,,
551,2025,,
552,2025,,
553,2026,,
554,2026,,
555,2026,,
556,2026,,
557,2026,,
558,2026,,
559,2026,,
560,2026,,
561,2026,,
562,2026,,
563,2026,,
564,2026,,
565,2027,,
566,2027,,
567,2027,,
568,2027,,
569,2027,,
570,2027,,
571,2027,,
572,2027,,
573,2027,,
574,2027,,
575,2027,,
576,2027,,
577,2028,,
578,2028,,
579,2028,,
580,2028,,
581,2028,,
582,2028,,
583,2028,,
584,2028,,
585,2028,,
586,2028,,
587,2028,,
588,2028,,
589,2029,,
590,2029,,
591,2029,,
592,2029,,
593,2029,,
594,2029,,
595,2029,,
596,2029,,
597,2029,,
598,2029,,
599,2029,,
600,2029,,
601,2030,,
602,2030,,
603,2030,,
604,2030,,
605,2030,,
606,2030,,
607,2030,,
608,2030,,
609,2030,,
610,2030,,
611,2030,,
612,2030,,
